11.927	12.5631	11.874	12.086	11.0789	12.4041	10.6548	11.927	12.2981	17.2809	20.9385	14.1004	12.4041	12.086	11.0259	10.2307	9.85965	9.59461	9.9657	8.74646	7.95134
13.5173	13.3582	14.0474	13.0402	11.503	11.874	11.609	13.5173	13.6233	15.6907	23.589	15.9557	13.6233	10.9728	12.1391	9.9657	10.2837	10.0717	9.27659	10.1777	8.74646
14.1534	11.3969	13.8353	12.8282	13.7293	13.0402	13.8883	13.3582	14.9485	18.4471	24.7022	15.9027	12.5101	12.4571	11.3439	10.7608	10.8668	11.1849	10.8139	10.0187	12.033
14.7895	12.7222	12.6691	12.9872	12.2981	14.2064	12.2981	12.8282	14.5775	17.4399	21.6277	16.1147	12.9342	12.1921	9.75364	11.1849	10.3368	10.0717	9.75364	11.503	8.64046
13.6233	13.5703	17.0689	13.6233	15.5316	13.5173	13.4643	14.8955	15.0545	16.5918	24.6491	16.8568	13.5703	12.8812	11.2379	12.1391	11.5559	9.85965	9.75364	8.74646	9.85965
13.3053	15.0016	13.9414	14.1534	12.7222	12.7222	12.4571	14.1534	15.3726	19.6133	23.801	16.3268	13.1992	13.5173	11.874	12.5631	11.927	10.3368	10.8139	8.32239	11.3439
14.4714	13.7293	16.0087	14.0474	14.2064	14.5775	15.0545	15.4256	16.2208	20.4085	30.4271	18.6591	15.7437	13.4113	12.1921	11.2909	10.9728	12.086	10.1777	10.2307	10.6548
16.5388	15.1605	15.4786	14.6835	15.9027	12.8282	16.1677	18.9772	18.8182	26.3985	37.3713	22.1048	18.7652	15.6907	13.3053	11.662	12.9342	12.1391	12.2981	10.8139	10.6548
17.917	17.3869	16.7508	17.0689	16.9628	17.2809	19.5073	19.9314	20.7795	30.0561	48.609	27.0346	20.1434	17.2809	14.3124	12.9872	13.0932	13.6763	13.0402	12.6162	11.1849
21.0445	21.1506	22.4758	20.4085	20.9916	20.1434	21.7867	26.8755	31.7523	47.549	83.3831	45.5877	30.9042	21.9457	20.0904	16.4858	16.7508	15.1076	16.9628	14.1534	14.4714
33.4486	33.0776	29.685	32.4945	27.8297	30.4802	33.0776	42.5132	56.0304	87.5706	167.668	81.9519	46.0648	34.6149	29.42	25.2323	22.4758	23.2179	21.7867	19.9844	20.2494
25.1262	23.748	21.8397	24.7022	23.9071	23.748	22.7939	30.3211	35.1449	53.9103	90.9104	48.5563	28.8369	20.9385	21.1506	17.811	16.8568	18.4471	17.1749	15.0016	15.5846
19.9844	19.5073	18.6591	19.7723	19.6663	20.1964	19.7193	23.0589	25.7094	33.1306	50.7296	33.6077	20.3025	19.2422	16.1147	13.1992	13.2522	15.0545	13.4113	14.1534	12.4041
20.9385	18.6591	18.6591	17.811	19.8254	17.97	20.4614	20.9916	22.1048	30.6392	41.453	27.6707	18.6062	16.1677	15.6376	14.8955	13.0932	12.4041	12.7751	13.8353	10.9199
20.8325	19.6133	20.0904	18.9242	20.2494	18.9772	18.5531	19.8254	22.6348	25.4443	36.5232	23.1119	17.4399	16.1677	13.5703	14.4185	13.1462	12.086	11.4499	12.5631	12.1391
21.0445	20.0374	18.6062	17.493	20.3554	18.076	17.0689	18.3941	18.8182	21.4686	29.473	20.0904	16.6448	15.1605	14.7895	12.7222	14.1004	12.8812	13.4113	12.4571	11.4499
22.5288	22.2637	21.3626	20.7265	18.8182	19.8784	17.1749	18.9772	19.0302	23.3769	32.4945	20.3025	15.4786	16.3798	15.0016	12.9872	13.4113	14.0474	13.5173	11.3439	10.7608
23.0059	22.4228	21.5216	19.6133	20.4614	19.6133	18.7122	18.7122	18.4471	23.96	32.7595	21.5216	16.2737	15.2136	14.4714	13.9414	14.3124	13.2522	12.3511	11.927	12.1391
28.0417	25.9214	22.5818	20.6205	20.2494	21.0445	19.1362	19.5073	20.5675	24.1721	29.632	20.8325	18.1291	14.4185	13.3582	13.5703	13.6233	13.4643	12.9342	13.3053	11.5559
31.1163	26.9285	26.5045	20.8855	20.8325	21.0976	20.3554	20.5145	18.6062	23.854	32.6005	24.8612	18.076	15.9027	15.3196	14.1534	13.1462	13.7823	14.5245	12.5631	11.98
34.0317	28.2008	27.7767	26.7695	25.4443	20.4614	20.7265	20.0374	24.0661	25.0202	31.5934	21.6277	18.6062	17.811	13.9414	15.4786	13.6233	13.6233	13.7823	12.8812	11.98
