[225.0, 237.0, 224.0, 228.0, 209.0, 234.0, 201.0, 225.0, 232.0, 326.0, 395.0, 266.0, 234.0, 228.0, 208.0, 193.0, 186.0, 181.0, 188.0, 165.0, 150.0]
[255.0, 252.0, 265.0, 246.0, 217.0, 224.0, 219.0, 255.0, 257.0, 296.0, 445.0, 301.0, 257.0, 207.0, 229.0, 188.0, 194.0, 190.0, 175.0, 192.0, 165.0]
[267.0, 215.0, 261.0, 242.0, 259.0, 246.0, 262.0, 252.0, 282.0, 348.0, 466.0, 300.0, 236.0, 235.0, 214.0, 203.0, 205.0, 211.0, 204.0, 189.0, 227.0]
[279.0, 240.0, 239.0, 245.0, 232.0, 268.0, 232.0, 242.0, 275.0, 329.0, 408.0, 304.0, 244.0, 230.0, 184.0, 211.0, 195.0, 190.0, 184.0, 217.0, 163.0]
[257.0, 256.0, 322.0, 257.0, 293.0, 255.0, 254.0, 281.0, 284.0, 313.0, 465.0, 318.0, 256.0, 243.0, 212.0, 229.0, 218.0, 186.0, 184.0, 165.0, 186.0]
[251.0, 283.0, 263.0, 267.0, 240.0, 240.0, 235.0, 267.0, 290.0, 370.0, 449.0, 308.0, 249.0, 255.0, 224.0, 237.0, 225.0, 195.0, 204.0, 157.0, 214.0]
[273.0, 259.0, 302.0, 265.0, 268.0, 275.0, 284.0, 291.0, 306.0, 385.0, 574.0, 352.0, 297.0, 253.0, 230.0, 213.0, 207.0, 228.0, 192.0, 193.0, 201.0]
[312.0, 286.0, 292.0, 277.0, 300.0, 242.0, 305.0, 358.0, 355.0, 498.0, 705.0, 417.0, 354.0, 296.0, 251.0, 220.0, 244.0, 229.0, 232.0, 204.0, 201.0]
[338.0, 328.0, 316.0, 322.0, 320.0, 326.0, 368.0, 376.0, 392.0, 567.0, 917.0, 510.0, 380.0, 326.0, 270.0, 245.0, 247.0, 258.0, 246.0, 238.0, 211.0]
[397.0, 399.0, 424.0, 385.0, 396.0, 380.0, 411.0, 507.0, 599.0, 897.0, 1573.0, 860.0, 583.0, 414.0, 379.0, 311.0, 316.0, 285.0, 320.0, 267.0, 273.0]
[631.0, 624.0, 560.0, 613.0, 525.0, 575.0, 624.0, 802.0, 1057.0, 1652.0, 3163.0, 1546.0, 869.0, 653.0, 555.0, 476.0, 424.0, 438.0, 411.0, 377.0, 382.0]
[474.0, 448.0, 412.0, 466.0, 451.0, 448.0, 430.0, 572.0, 663.0, 1017.0, 1715.0, 916.0, 544.0, 395.0, 399.0, 336.0, 318.0, 348.0, 324.0, 283.0, 294.0]
[377.0, 368.0, 352.0, 373.0, 371.0, 381.0, 372.0, 435.0, 485.0, 625.0, 957.0, 634.0, 383.0, 363.0, 304.0, 249.0, 250.0, 284.0, 253.0, 267.0, 234.0]
[395.0, 352.0, 352.0, 336.0, 374.0, 339.0, 386.0, 396.0, 417.0, 578.0, 782.0, 522.0, 351.0, 305.0, 295.0, 281.0, 247.0, 234.0, 241.0, 261.0, 206.0]
[393.0, 370.0, 379.0, 357.0, 382.0, 358.0, 350.0, 374.0, 427.0, 480.0, 689.0, 436.0, 329.0, 305.0, 256.0, 272.0, 248.0, 228.0, 216.0, 237.0, 229.0]
[397.0, 378.0, 351.0, 330.0, 384.0, 341.0, 322.0, 347.0, 355.0, 405.0, 556.0, 379.0, 314.0, 286.0, 279.0, 240.0, 266.0, 243.0, 253.0, 235.0, 216.0]
[425.0, 420.0, 403.0, 391.0, 355.0, 375.0, 324.0, 358.0, 359.0, 441.0, 613.0, 383.0, 292.0, 309.0, 283.0, 245.0, 253.0, 265.0, 255.0, 214.0, 203.0]
[434.0, 423.0, 406.0, 370.0, 386.0, 370.0, 353.0, 353.0, 348.0, 452.0, 618.0, 406.0, 307.0, 287.0, 273.0, 263.0, 270.0, 250.0, 233.0, 225.0, 229.0]
[529.0, 489.0, 426.0, 389.0, 382.0, 397.0, 361.0, 368.0, 388.0, 456.0, 559.0, 393.0, 342.0, 272.0, 252.0, 256.0, 257.0, 254.0, 244.0, 251.0, 218.0]
[587.0, 508.0, 500.0, 394.0, 393.0, 398.0, 384.0, 387.0, 351.0, 450.0, 615.0, 469.0, 341.0, 300.0, 289.0, 267.0, 248.0, 260.0, 274.0, 237.0, 226.0]
[642.0, 532.0, 524.0, 505.0, 480.0, 386.0, 391.0, 378.0, 454.0, 472.0, 596.0, 408.0, 351.0, 336.0, 263.0, 292.0, 257.0, 257.0, 260.0, 243.0, 226.0]
