2471.42	0	0	636.966	407.659	687.923	0	0	535.051	420.397	1515.98	1121.06	0	598.748	127.393	0	445.877	0	713.402	0	0
382.179	0	1146.54	0	140.132	942.71	1070.1	0	535.051	1006.41	649.705	0	0	0	0	0	280.265	0	471.355	853.534	305.743
0	0	0	0	535.051	38.2179	0	445.877	1095.58	203.829	38.2179	535.051	318.483	547.791	0	815.316	0	50.9573	0	0	0
1337.63	293.005	649.705	0	165.611	0	0	0	0	0	0	331.223	382.179	254.787	1197.5	0	0	331.223	394.919	0	0
509.573	0	420.397	0	0	165.611	904.492	229.308	254.787	0	751.62	216.568	0	0	0	866.274	0	0	0	0	0
917.231	0	369.441	955.449	114.654	0	0	0	509.573	598.748	586.009	904.492	0	738.88	356.701	0	458.615	840.796	496.833	0	0
0	0	445.877	0	0	203.829	0	152.872	586.009	1439.55	2369.51	2344.04	0	586.009	229.308	0	586.009	0	0	0	369.441
0	356.701	0	0	0	0	1503.23	0	1222.97	2471.42	3821.79	3197.57	1439.55	63.6966	1248.45	0	1324.89	0	0	828.056	254.787
0	0	127.393	0	0	0	0	1108.32	1070.1	3528.79	4624.37	929.97	3274	2025.55	165.611	573.269	0	1019.15	484.095	0	573.269
636.966	586.009	1465.02	777.098	917.231	484.095	2471.42	3477.83	4981.08	7172.24	14484.6	6153.1	1222.97	1248.45	1019.15	0	0	0	114.654	0	229.308
611.487	433.137	0	1019.15	1337.63	2318.56	2433.21	3936.45	5286.82	18816	67429.2	17452.8	4458.77	3197.57	1070.1	0	407.659	0	1070.1	1324.89	0
0	0	0	471.355	738.88	0	1210.24	1605.15	2025.55	7898.38	13045.1	2968.27	1248.45	2012.81	407.659	624.226	0	0	1414.07	0	0
0	1286.67	0	0	0	789.838	560.53	2242.12	1337.63	2522.39	4879.16	3350.44	700.662	1732.55	802.578	318.483	840.796	1082.84	509.573	0	0
178.35	0	0	866.274	25.4787	0	267.525	420.397	1019.15	445.877	2942.78	3044.7	738.88	254.787	0	586.009	0	203.829	649.705	0	203.829
929.97	114.654	0	127.393	1184.76	152.872	0	598.748	1057.36	1312.15	2535.12	1172.02	394.919	1796.25	0	0	0	1057.36	0	0	394.919
0	0	0	382.179	216.568	471.355	828.056	586.009	1070.1	0	0	12.7393	445.877	840.796	0	0	687.923	0	0	0	0
0	0	586.009	0	0	815.316	1044.62	101.915	0	942.71	1350.37	0	0	369.441	586.009	254.787	0	0	0	0	0
764.36	0	815.316	445.877	1197.5	0	751.62	0	777.098	0	2662.52	318.483	0	1095.58	1095.58	0	191.09	331.223	891.752	0	394.919
1337.63	0	1286.67	0	891.752	0	0	0	0	1439.55	2611.56	726.142	0	0	0	0	0	0	318.483	0	0
0	0	0	866.274	0	0	0	280.265	0	12.7393	0	0	305.743	1936.38	0	2012.81	0	191.09	547.791	0	0
407.659	0	0	0	38.2179	0	0	713.402	1337.63	0	63.6966	917.231	0	458.615	649.705	0	0	0	0	0	0
